method,file_name,true_label,predicted_label,rule_pred,nlp_pred,final_severity,label_from_structural,label_from_regex,parse_error
rule_based,argo-cd__docs_operator-manual_argocd-cmd-params-cm.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__gitops-engine_pkg_health_testdata_deployment-suspended.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__gitops-engine_pkg_health_testdata_job-suspended.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__gitops-engine_pkg_health_testdata_pod-deletion.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__gitops-engine_pkg_health_testdata_pod-running-restart-never.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__gitops-engine_pkg_health_testdata_statefulset-ondelete.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__gitops-engine_pkg_health_testdata_svc-clusterip.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
rule_based,argo-cd__manifests_base_server_argocd-server-deployment.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__manifests_crds_appproject-crd.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__resource_customizations_apps_Deployment_actions_testdata_deployment.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__resource_customizations_core.humio.com_HumioIngestToken_testdata_configerror.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_core.humio.com_HumioIngestToken_testdata_unknown.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_external-secrets.io_ClusterExternalSecret_testdata_notready.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_external-secrets.io_ClusterExternalSecret_testdata_progressing.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_external-secrets.io_ExternalSecret_testdata_progressing.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_k8s.keycloak.org_Keycloak_testdata_degraded.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_k8s.keycloak.org_Keycloak_testdata_provisioning.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_kafka.strimzi.io_KafkaBridge_testdata_degraded.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__resource_customizations_kafka.strimzi.io_KafkaUser_testdata_healthy.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_numaflow.numaproj.io_InterStepBufferService_testdata_progressing.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,argo-cd__resource_customizations_ocs.openshift.io_StorageCluster_testdata_degraded.yaml,privilege_exposure,secure,secure,privilege_exposure,NONE,secure,secure,
rule_based,argo-cd__resource_customizations_tower.ansible.com_AnsibleJob_testdata_degraded_error.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__resource_customizations_tower.ansible.com_AnsibleJob_testdata_progressing_running.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,argo-cd__test_manifests_cmp_repo-patch.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafanadashboards.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,charts__bitnami_grafana-operator_crds_grafana.integreatly.org_grafanas.yaml,privilege_exposure,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,charts__bitnami_kube-prometheus_charts_kube-prometheus-crds_crds_crd-thanosrulers.yaml,privilege_exposure,secure,secure,privilege_exposure,NONE,secure,secure,
rule_based,charts__bitnami_pinniped_crds_supervisor_config.supervisor.pinniped.dev_federationdomains.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
rule_based,charts__bitnami_rabbitmq-cluster-operator_crds_rabbitmq-cluster_rabbitmq.com_rabbitmqclusters.yaml,privilege_exposure,secure,secure,privilege_exposure,NONE,secure,secure,
rule_based,cloud-on-k8s__config_crds_v1_resources_elasticsearch.k8s.elastic.co_elasticsearches.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,cloud-on-k8s__config_recipes_autopilot_metricbeat_hosts.yaml,secure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,cloud-on-k8s__config_recipes_elastic-agent_fleet-custom-logs-integration.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,cloud-on-k8s__config_recipes_logstash_logstash-eck.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,cloud-on-k8s__config_recipes_mtls_manual_standalone-agent.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,cloud-on-k8s__config_recipes_packageregistry_epr-eck.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,cloud-on-k8s__config_recipes_packageregistry_epr-volumes.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,cloud-on-k8s__config_recipes_remoteclusters_elasticsearch.yaml,hardcoded_secret,secure,secure,secure,NONE,secure,secure,
rule_based,helm-charts__charts_kube-prometheus-stack_charts_crds_crds_crd-podmonitors.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,helm-charts__charts_kube-prometheus-stack_charts_crds_crds_crd-prometheuses.yaml,privilege_exposure,hardcoded_secret,hardcoded_secret,privilege_exposure,MEDIUM,secure,hardcoded_secret,
rule_based,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_destinations_custom_debug_test_test-plan.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,k8s-monitoring-helm__charts_k8s-monitoring_docs_examples_features_pod-logs-via-loki_default_output.yaml,secure,hardcoded_secret,hardcoded_secret,hardcoded_secret,MEDIUM,secure,hardcoded_secret,
rule_based,k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_proxies_dependencies_proxy.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
rule_based,k8s-monitoring-helm__charts_k8s-monitoring_tests_integration_service-integrations_grafana_test-plan.yaml,secure,hardcoded_secret,hardcoded_secret,secure,MEDIUM,secure,hardcoded_secret,
rule_based,k8s-monitoring-helm__charts_k8s-monitoring_tests_platform_gke_test-plan.yaml,hardcoded_secret,secure,secure,hardcoded_secret,NONE,secure,secure,
